source_model,target_model,source_training,target_training,attack,epsilon,seed,evaluated_samples,jointly_clean_correct_samples,robust_accuracy,attack_success_rate,conditional_transfer_success_rate,runtime_seconds,device
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.1,123,10000,9891,0.9845,0.015499999999999958,0.008290364978263067,22.703468600011547,cpu
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.1,123,10000,9768,0.9688,0.031200000000000006,0.010135135135135136,12.073430500095128,cpu
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.1,123,10000,9916,0.9745,0.025499999999999967,0.017244856797095604,22.8643198000791,cpu
lenet_standard,lenet_standard,standard,standard,FGSM,0.15,123,10000,9842,0.2136,0.7864,0.7829709408656778,2.415852199890651,cpu
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.15,123,10000,9823,0.9483,0.05169999999999997,0.03980454036445078,13.704439299937803,cpu
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.15,123,10000,9723,0.944,0.05600000000000005,0.03219171037745552,2.4539420999208232,cpu
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.15,123,10000,9804,0.9707,0.029299999999999993,0.016115871073031415,13.679308399907313,cpu
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.15,123,10000,9823,0.9054,0.09460000000000002,0.07910007126132546,12.31571950003854,cpu
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.15,123,10000,9936,0.7117,0.2883,0.2837157809983897,23.764752699949895,cpu
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.15,123,10000,9774,0.9607,0.0393,0.01831389400450174,12.437925300051575,cpu
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.15,123,10000,9891,0.9739,0.026100000000000012,0.01627742392073602,23.659096600007615,cpu
